recipe_slug	score_bound
falafel	1.916160116632558
spamburger	1.97140201737283
bacon-fried-rice	1.9107794802250135
chicken-fingers	1.881580488374692
apple-crisp	1.869508563307561
cranberry-apple-crisp	1.8288494169815643
bacon-chocolate-chip-cookies	1.7654688533806993
sujebi	1.9075010328866928
pasta-primavera	1.8516951695907682
ramen	1.964684139908596
brownies	2.5897912600003763
bacon-wrapped-scallops	2.60006291745292
bacon-egg-muffins	2.690001731190175
breakfast-burritos	2.7263954566091373
bolognese-sauce	2.648216596831445
croissants	2.7170702470174612
bacon-souffle	2.46713099051697
souffle	2.7881219049303607
chocolate-souffle	2.3028450511286715
butter-croissants	2.2741128769919787
pickled-green-beans	2.310805033010337
fried-oysters	2.266086750865828
peanut-butter-brownies	1.9437557784301895
almond-chip-cookies	2.002574957603595
guacamole	2.6070137001462306
brioche-bread	2.326950505213522
brioche-bread-with-chocolate	1.9857919631186967
asparagus-quiche	2.530227722157902
asparagus-burger	2.580367262011826
ma-la-chicken	2.611134969276161
cold-noodles-with-tomatoes	2.5985969978034507
tamales	2.6040984044472104
enchiladas	2.518769845385765
tacos	2.564856194625518
burritos	2.2735650977520976
peanut-butter-cupcakes	2.0349146363923647
pickled-asparagus	2.2186084755269846
chocolate-peanut-butter-cake	1.938452021733032
udon	2.442639319996836
vegetable-lasagna	2.1369632665928657
maple-bacon-donuts	2.0084461472245367
maple-bacon-pancakes	2.070752998306813
spinach-and-ricotta-stuffed-shells	2.2586548062772014
quesadillas	2.6196702318472678
pico-de-gallo	2.475623517040015
nachos	2.518113921834474
cold-soba-noodles-with-tomato-and-cucumber	2.5140307353088014
fajitas	2.6020380006291814
loaded-nachos	2.299566908292012
lasagna	2.412722426866775
chicken-nuggets	2.521154209850339
pain-au-chocolat	2.182834873354871
nacho-dip	2.4592272763446985
nacho-salad	2.5846690144481506
nacho-casserole	2.273694588405647
nacho-fries	2.5855641693094573
tempura-udon	2.293417598682411
peach-crisp	2.1459163399896024
apple-pie	2.1182029557544695
blueberry-crisp	2.1397837151884196
berry-crumble	2.0357874835138547
strawberry-rhubarb-crisp	2.3328147799792838
peach-cobbler	1.9926191208269854
cranberry-sauce	2.2859733002893505
cherry-cobbler	2.1593399162712057
apple-crumble	2.115223973112405
chocolate-croissants	2.0194277621104892
french-toast	2.289044073279652
chocolate-babka	2.168949833521199
cinnamon-babka	1.8562084504057481
blueberry-crumble	2.052566937692458
spam-musubi	2.3455075538435413
taco-salad	2.5966062872152396
chiles-rellenos	2.4932672222815913
almond-croissants	2.2417000713859085
cranberry-relish	2.2859733002893496
ma-la-beef	2.5403739778034873
chocolate-cake	1.9668484959125627
spinach-quiche	2.558818837638526
mushroom-quiche	2.546109538053943
quiche-lorraine	2.1472713996251276
croissant-aux-amandes	2.3325749615133695
danishes	2.276237727714444
spinach-and-feta-quiche	2.4664488532065163
cold-sesame-noodles	2.514686580822815
soba-noodle-salad-with-peanut-dressing	2.510056372706498
dan-dan-noodles	2.621108154532924
vanilla-souffle	2.1128383887885778
bacon-wrapped-dates	2.2306431913974336
cherry-pie	2.242957165451176
berry-crisp	2.115345429346848
bacon-and-egg-breakfast-sandwich	2.2881864307395356
bacon-wrapped-shrimp-skewers	2.110438807481724
bacon-wrapped-chicken	2.338131172051601
bacon-wrapped-asparagus	2.1276976094753914
bacon-mac-and-cheese	2.3368773709293325
chicken-alfredo-lasagna	2.4583711316382275
classic-beef-lasagna	2.45615582002503
vegetarian-mushroom-lasagna	2.3582767041358066
spinach-and-ricotta-lasagna	2.4211556161331043
