recipe_slug	score_estimate
almond-chip-cookies	0.27911657821345137
almond-croissants	0.5358445020694483
apple-crisp	0.093166825946234
apple-crumble	0.24555175579403352
apple-pie	0.26795049114880526
asparagus-burger	0.7163650345855335
asparagus-quiche	0.7191952821760744
bacon-and-egg-breakfast-sandwich	0.5107849710397436
bacon-chocolate-chip-cookies	0.07731339316265456
bacon-egg-muffins	0.9108155935527944
bacon-fried-rice	0.044622591678548484
bacon-mac-and-cheese	0.5153228074414914
bacon-souffle	0.9314380766015615
bacon-wrapped-asparagus	0.31544859964254446
bacon-wrapped-chicken	0.49865420577548886
bacon-wrapped-dates	0.49751391330018674
bacon-wrapped-scallops	0.8241843194604199
bacon-wrapped-shrimp-skewers	0.28515008227472805
berry-crisp	0.4387511675414437
berry-crumble	0.5457367641097969
blueberry-crisp	0.5507552441053623
blueberry-crumble	0.4708350962986566
bolognese-sauce	0.8905680836238185
breakfast-burritos	0.9156242741160907
brioche-bread	0.4902115004325477
brioche-bread-with-chocolate	0.2999287715082545
brownies	0.8159468572056338
burritos	0.4972504833818592
butter-croissants	0.7523478545629204
cherry-cobbler	0.509519433669863
cherry-pie	0.509651363246802
chicken-alfredo-lasagna	0.6902981578529827
chicken-fingers	0.08746481956305027
chicken-nuggets	0.6732153803933894
chiles-rellenos	0.7180200394476409
chocolate-babka	0.31931341556758164
chocolate-cake	0.2896350171292824
chocolate-croissants	0.3777855333576383
chocolate-peanut-butter-cake	0.2564263586914283
chocolate-souffle	0.7566287466565994
cinnamon-babka	0.22955894638626553
classic-beef-lasagna	0.7456627262571753
cold-noodles-with-tomatoes	0.7185325301033771
cold-sesame-noodles	0.7213448204284224
cold-soba-noodles-with-tomato-and-cucumber	0.7268523567503018
cranberry-apple-crisp	0.0027245799692492967
cranberry-relish	0.49595365254562446
cranberry-sauce	0.4959536525456245
croissant-aux-amandes	0.4888828028194136
croissants	0.8956846821195632
dan-dan-noodles	0.7453769583589627
danishes	0.47475592381226667
enchiladas	0.7196943980256443
fajitas	0.7540531000286332
falafel	0.14990474268504528
french-toast	0.5651119146230384
fried-oysters	0.4891109125042172
guacamole	0.7513244492373342
lasagna	0.7541005887270263
loaded-nachos	0.5084548305079011
ma-la-beef	0.7223331683056706
ma-la-chicken	0.7334346242769343
maple-bacon-donuts	0.25131005276138785
maple-bacon-pancakes	0.32480710947085567
mushroom-quiche	0.6950154993569546
nacho-casserole	0.5239167388593508
nacho-dip	0.7160691675573599
nacho-fries	0.7326896343235709
nacho-salad	0.7610495393541065
nachos	0.7233915392502177
pain-au-chocolat	0.2941451735419825
pasta-primavera	0.16665975624175325
peach-cobbler	0.27832440029284045
peach-crisp	0.45913209499802604
peanut-butter-brownies	0.3049888090695195
peanut-butter-cupcakes	0.25500214911476005
pickled-asparagus	0.4665529860685445
pickled-green-beans	0.506296831586159
pico-de-gallo	0.7213534683522632
quesadillas	0.7511045345477967
quiche-lorraine	0.34572328781237577
ramen	0.05368929711625441
soba-noodle-salad-with-peanut-dressing	0.7201647082709345
souffle	1.0348524232520346
spam-musubi	0.4817633226414133
spamburger	0.07706601276939763
spinach-and-feta-quiche	0.6980533341593018
spinach-and-ricotta-lasagna	0.7174931733040779
spinach-and-ricotta-stuffed-shells	0.7036376012026372
spinach-quiche	0.8507278750565334
strawberry-rhubarb-crisp	0.47290287673026576
sujebi	0.08260632384507394
taco-salad	0.7509099583782141
tacos	0.7194019296334317
tamales	0.7314699304410078
tempura-udon	0.49954331170317756
udon	0.6728984048221522
vanilla-souffle	0.3096424841269434
vegetable-lasagna	0.6700911463816035
vegetarian-mushroom-lasagna	0.7681561239637532
