recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.25
ma-la-chicken	7.209255444939295	0.75
quesadillas	7.236025079362745	0.75
ramen	7.2183415017603	0.0
spamburger	6.953122783101217	0.0
pain-au-chocolat	6.903713453880321	0.25
bacon-fried-rice	6.8791925251316455	0.0
chocolate-babka	6.791855009938239	0.25
nacho-fries	6.753937919616875	0.75
cranberry-sauce	6.600440445540438	0.5
guacamole	6.5288229287392525	0.75
asparagus-quiche	6.393611684533869	0.75
strawberry-rhubarb-crisp	6.293681515605823	0.5
asparagus-burger	6.286233699379487	0.75
bacon-wrapped-asparagus	6.271983372309501	0.25
cold-noodles-with-tomatoes	6.184848745642404	0.75
tamales	6.174593174208356	0.75
apple-pie	6.1646859163381205	0.25
dan-dan-noodles	6.162954484614715	0.75
taco-salad	6.150470900763596	0.75
brioche-bread	6.067292330885418	0.5
mushroom-quiche	6.0597485607159465	0.75
bacon-wrapped-chicken	6.010670996875764	0.5
fajitas	5.835950341509832	0.75
chicken-nuggets	5.792367838651917	0.75
tacos	5.728312980504084	0.75
apple-crisp	5.660798811502387	0.0
nacho-salad	5.6406129866861106	0.75
spam-musubi	5.616472819668061	0.5
bacon-mac-and-cheese	5.551662658045624	0.5
croissants	5.540663840294701	1.0
bacon-wrapped-shrimp-skewers	5.447766641159271	0.25
croissant-aux-amandes	5.441659721568758	0.5
spinach-quiche	5.404676247595664	0.75
nachos	5.364670692554265	0.75
peanut-butter-cupcakes	5.338408089237411	0.25
sujebi	5.306976969035728	0.0
quiche-lorraine	5.312271648696411	0.25
cold-soba-noodles-with-tomato-and-cucumber	5.207433803163584	0.75
souffle	5.165890842406102	1.0
spinach-and-ricotta-lasagna	5.149371793067647	0.75
breakfast-burritos	5.113158511425932	1.0
cranberry-apple-crisp	5.0985959697068335	0.0
cherry-pie	5.089696800782666	0.5
enchiladas	5.051972644528648	0.75
loaded-nachos	5.01695441354246	0.5
vanilla-souffle	4.983763485639387	0.25
danishes	4.948876150009313	0.5
ma-la-beef	4.943167543109945	0.75
cold-sesame-noodles	4.82602264538626	0.75
bacon-egg-muffins	4.7961013989760035	1.0
pickled-green-beans	4.782536990613027	0.5
falafel	4.770699310815862	0.0
chiles-rellenos	4.768675405354192	0.75
soba-noodle-salad-with-peanut-dressing	4.700090389775267	0.75
bolognese-sauce	4.652407838026922	1.0
brownies	4.642761867235562	1.0
brioche-bread-with-chocolate	4.628240812712157	0.25
peach-crisp	4.62450171152288	0.5
tempura-udon	4.601663722825777	0.5
bacon-and-egg-breakfast-sandwich	4.59739992378941	0.5
chicken-alfredo-lasagna	4.579939303385206	0.75
burritos	4.5692247632196885	0.5
chicken-fingers	4.55947704650602	0.0
cranberry-relish	4.5299970207921305	0.5
maple-bacon-pancakes	4.473852452208423	0.25
chocolate-peanut-butter-cake	4.4598410739280645	0.25
spinach-and-feta-quiche	4.426643640608442	0.75
classic-beef-lasagna	4.405113702796387	0.75
pico-de-gallo	4.404177777891591	0.75
almond-croissants	4.384289185513107	0.5
nacho-dip	4.322653612640372	0.75
udon	4.31530494906745	0.75
nacho-casserole	4.271055171748797	0.5
bacon-wrapped-scallops	4.249569947594212	1.0
fried-oysters	4.300674816976815	0.5
french-toast	4.275955308172169	0.5
almond-chip-cookies	4.2174762133624535	0.25
peach-cobbler	4.140854753308341	0.25
lasagna	4.087279735228305	0.75
bacon-wrapped-dates	4.072350974995678	0.5
maple-bacon-donuts	4.064832254371988	0.25
pickled-asparagus	3.976786821937747	0.5
pasta-primavera	3.915733180754621	0.0
berry-crisp	3.872791022735701	0.5
chocolate-croissants	3.711910389085302	0.25
bacon-chocolate-chip-cookies	3.6074585398282846	0.0
blueberry-crumble	3.6071441973228215	0.5
vegetarian-mushroom-lasagna	3.538879808125378	0.75
cherry-cobbler	3.4286906494490914	0.5
chocolate-cake	3.4211704508560246	0.25
blueberry-crisp	3.264741915115335	0.5
peanut-butter-brownies	3.2421666568066234	0.25
spinach-and-ricotta-stuffed-shells	3.20493538612298	0.75
bacon-souffle	3.1839611594467025	1.0
cinnamon-babka	3.084127230621397	0.25
chocolate-souffle	2.8631153274682832	1.0
berry-crumble	2.8126778523878215	0.5
butter-croissants	2.758951996302015	1.0
vegetable-lasagna	2.73499532951881	0.75
